11/5/2014 2:30:02 AM AccBegBal Complete
11/5/2014 2:30:02 AM AccCCDefaults Complete
11/5/2014 2:30:02 AM AccChart Complete
11/5/2014 2:30:02 AM AccCompanies Complete
11/5/2014 2:30:02 AM AccCoOp Complete
11/5/2014 2:30:02 AM AccDisbursement Complete
11/5/2014 2:30:02 AM AccInvoices Complete
11/5/2014 2:30:02 AM AccJournalChecks Complete
11/5/2014 2:30:02 AM AccJournals Complete
11/5/2014 2:36:46 AM AccMonthEnd Complete
11/5/2014 2:36:48 AM AccTrans Complete
11/5/2014 2:36:51 AM AccTransDetail Complete
11/5/2014 2:37:02 AM AccTransDetailHistory Complete
11/5/2014 2:37:03 AM AccTransHistory Complete
11/5/2014 2:37:03 AM AccTransImport Complete
11/5/2014 2:37:03 AM Brands Complete
11/5/2014 2:37:04 AM CityCodes Complete
11/5/2014 2:37:04 AM CodeList Complete
11/5/2014 2:37:04 AM ExchRates Complete
11/5/2014 2:37:06 AM Inventory Complete
11/5/2014 2:37:06 AM Markets Complete
11/5/2014 2:38:50 AM MrkAddress Complete
11/5/2014 2:38:50 AM MrkContactPromotions Complete
11/5/2014 2:38:50 AM MrkContactReview Complete
11/5/2014 2:41:01 AM MrkContacts Complete
11/5/2014 2:41:02 AM MrkCustomers Complete
11/5/2014 2:41:02 AM MrkFeedback Complete
11/5/2014 2:41:02 AM MrkSegment Complete
11/5/2014 2:41:02 AM MrkFeedbackAnswer Complete
11/5/2014 2:42:58 AM MrkSubscriptionHistory Complete
11/5/2014 2:42:58 AM MrkSubscriptionLists Complete
11/5/2014 2:42:58 AM MrkSurvey Complete
11/5/2014 2:42:58 AM MrkSurveyQuestion Complete
11/5/2014 2:42:58 AM MrkTerritory Complete
11/5/2014 2:42:58 AM Product Complete
11/5/2014 2:43:00 AM ProductDetail Complete
11/5/2014 2:43:01 AM ProductPrices Complete
11/5/2014 2:43:01 AM ProductShopHistory Complete
11/5/2014 2:43:26 AM ResGeneral Complete
11/5/2014 2:43:38 AM ResItinerary Complete
11/5/2014 2:43:40 AM ResMemos Complete
11/5/2014 2:44:03 AM ResPassengers Complete
11/5/2014 2:44:04 AM SupplierRates Complete
11/5/2014 2:44:05 AM Suppliers Complete
11/5/2014 2:44:05 AM SupplierServices Complete
11/5/2014 2:44:05 AM Users Complete
11/5/2014 2:44:05 AM MrkBrochureCode Complete
11/5/2014 2:44:05 AM MrkCampaign Complete
11/5/2014 2:44:05 AM MrkChannel Complete
11/5/2014 2:44:05 AM MrkBrochureRequest Complete
11/5/2014 2:44:05 AM MrkBlastDetail Complete
11/6/2014 2:30:01 AM Connected to IEST
11/6/2014 2:30:01 AM -----------------------------------
11/6/2014 2:30:01 AM AccAPBatch Complete
11/6/2014 2:30:01 AM AccAPBatchDetail Complete
11/6/2014 2:30:02 AM AccBankRec Complete
11/6/2014 2:30:02 AM AccBanks Complete
11/6/2014 2:30:02 AM AccBegBal Complete
11/6/2014 2:30:02 AM AccCCDefaults Complete
11/6/2014 2:30:02 AM AccChart Complete
11/6/2014 2:30:02 AM AccCompanies Complete
11/6/2014 2:30:02 AM AccCoOp Complete
11/6/2014 2:30:02 AM AccDisbursement Complete
11/6/2014 2:30:02 AM AccInvoices Complete
11/6/2014 2:30:02 AM AccJournalChecks Complete
11/6/2014 2:30:02 AM AccJournals Complete
11/6/2014 2:36:35 AM AccMonthEnd Complete
11/6/2014 2:36:37 AM AccTrans Complete
11/6/2014 2:36:41 AM AccTransDetail Complete
